id,autores,paradigma,algoritmo_quantico,topico,problema,abordagem,ano,hardware,num_cidades,formulacao,contribuicao,escala_testada,qualidade_solucao,tempo_execucao,taxa_sucesso,sensibilidade_parametros,robustez_ruido,metricas_avaliadas,criterios,fonte,ranking
88,Bontekoe [18],QA,QA,Cargo,QKP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
89,Bozejko [21],QA,QA,Cargo,QKP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
90,Cellini [30],QA,QA,Cargo,BPP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
91,Cellini [31],QA,QA,Cargo,BPP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
92,Christiansen [35],GBC,QAOA,Cargo,QKP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
93,Cui [38],GBC,Grover,Cargo,QKP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
94,Gatti [53],QA,QA,Cargo,BPP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
95,Matt [96],GBC,QAOA,Cargo,BPP,Hybrid,2024,Simulador,Nao especificado,QUBO,Decompoe o problema de empacotamento em TSP + empacotamento retangular. Supera metodos classicos.,Variavel,Superior ao classico,Nao reportado,Nao reportada,Nao avaliada,Simulador apenas,"Qualidade da solucao, Comparacao com classico",Nao Reportada,Phillipson 2025,0
96,Nayak [103],QA,QA,Cargo,ALO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
97,Pilon [116],QA,QA,Cargo,ALO,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
98,"Romero [123,124]",QA,CQM,Cargo,BPP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
99,Shirai [141],GBC,VQE,Cargo,QKP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
100,"Sotelo [64,145]",GBC,VQE,Cargo,ALO,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
101,Van Dam [40],GBC,QAOA,Cargo,KP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
102,Gutta [60],GBC,QML,Prediction,Forecasting,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
103,Jahin [69],GBC,QML,Prediction,Prediction,Hybrid,2024,IBM Quantum,Nao Reportada,Rede neural hibrida,Rede neural hibrida quantica-classica para previsao de backorder. F1: 94%.,Nao Reportada,F1: 94%,Nao reportado,94% F1,Nao avaliada,Nao avaliada,"F1-score, Acuracia",C6,Phillipson 2025,20
104,Jiang [71],GBC,HHL/VQE,Prediction,Inventory,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
105,Koushik [78],GBC,QML,Prediction,Maintenance,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
106,Sehrawat [140],GBC,QML,Prediction,Forecasting,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
107,Adelomou [2],GBC,VQE,Scheduling,Personnel,Hybrid,2022,IBM Quantum,Pequena escala,PQC + VQE,PQC + VQE para raciocinio baseado em casos em scheduling de pessoal.,Pequena,Nao reportada,Nao reportado,Nao reportada,Nao avaliada,Nao avaliada,Viabilidade QCBR,Nao Reportada,Phillipson 2025,0
108,Ajagekar [4],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
109,Ajagekar [4],QA,QA,Scheduling,MCFP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
110,Amaro [7],GBC,VQE,Scheduling,JSP,Hybrid,2022,IBM Quantum,Ate 23 qubits,Circuito com filtragem,"F-VQE com convergencia superior a QAOA, VQE e VarQITE em benchmarks de JSP.",Media (ate 23 qubits),F-VQE superior,Convergencia mais rapida,Nao reportada,Nao avaliada,Nao avaliada,"Convergencia, Qualidade, Comparacao",Nao Reportada,Phillipson 2025,0
111,Bernreuther [17],GBC,QAOA,Scheduling,Scheduling,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
112,Carugno [27],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
113,Denkena [42],QA,QA,Scheduling,FJSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
114,Grange [57],GBC,QAOA,Scheduling,Scheduling,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
115,Huang [66],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
116,Krol [79],GBC,Grover,Scheduling,Scheduling,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
117,Kurowski [80],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
118,Mohammadbagherpoor [98],QA,VQE,Scheduling,QAP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
119,Mori [101],QA e GBC,QAOA,Scheduling,ARP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
120,Permin [111],GBC,Grover,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
121,Riandari [122],GBC,QAOA,Scheduling,Production opt.,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
122,Scherer [135],GBC,Grover,Scheduling,JSP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
123,Streif [148],GBC,QAOA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
124,Schworm [137],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
125,Schworm [138],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
126,Schworm [139],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
127,Venturelli [155],QA,QA,Scheduling,JSP,Full Quantum,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
128,Windmann [162],GBC,QAOA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
129,Yarkoni [167],QA,QA,Scheduling,JSP,Hybrid,Nao Reportada,Nao Reportada,Nao Reportada,QUBO,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Nao Reportada,Phillipson 2025,0
